"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
104	245	63	1.95935801550265	2.19929175939725	0	0	0	1
15	0	66	NA	NA	0	0	0	1
598	259	675	-1.38193540425164	-1.14200166035705	0	0	0	1
2003	2671	1541	0.793513114120325	1.03344685801492	0	0	0	1
5	2	110	-5.78135971352466	-5.54142596963007	0	0	0	1
2388	3652	2697	0.437331243748618	0.677264987643211	0	0	0	1
1347	2393	1045	1.19531745457025	1.43525119846485	0	0	0	1
1403	1409	3545	-1.33111401581724	-1.09118027192265	0	0	0	1
109	100	2106	-4.39643353125099	-4.1564997873564	0	0	0	1
739	678	449	0.594569828395198	0.83450357228979	0	0	0	1
2375	2405	5655	-1.23349013021978	-0.993556386325187	0	0	0	1
208	440	39	3.49595749466241	3.735891238557	0	0	0	1
251	335	138	1.27949282856697	1.51942657246156	0	0	0	1
67	103	22	2.22706890854592	2.46700265244051	0	0	0	1
166	133	384	-1.52968006521997	-1.28974632132537	0	0	0	1
93	121	15	3.01197264166608	3.25190638556067	0	0	0	1
55	184	54	1.76867445389354	2.00860819778814	0	0	0	1
215	144	432	-1.58496250072116	-1.34502875682656	0	0	0	1
8	6	123	-4.35755200461808	-4.11761826072349	0	0	0	1
177	246	1290	-2.39064084497138	-2.15070710107678	0	0	0	1
12	7	117	-4.0630097975258	-3.82307605363121	0	0	0	1
99	206	71	1.53675340767854	1.77668715157313	0	0	0	1
365	616	357	0.787006276665803	1.0269400205604	0	0	0	1
68	65	291	-2.16250752987983	-1.92257378598524	0	0	0	1
151	121	532	-2.13641919822659	-1.896485454332	0	0	0	1
25	4	170	-5.4093909361377	-5.16945719224311	0	0	0	1
241	215	882	-2.03644199596806	-1.79650825207347	0	0	0	1
97	52	444	-3.09397614820901	-2.85404240431442	0	0	0	1
34	99	15	2.72246602447109	2.96239976836568	0	0	0	1
25	63	735	-3.54432051622381	-3.30438677232922	0	0	0	1
437	525	309	0.76471058464911	1.0046443285437	0	0	0	1
92	116	498	-2.10202093694051	-1.86208719304592	0	0	0	1
150	218	1955	-3.16476856741779	-2.9248348235232	0	0	0	1
207	293	147	0.995084509585884	1.23501825348048	0	0	0	1
243	386	176	1.13302541863078	1.37295916252537	0	0	0	1
166	264	127	1.05570943258629	1.29564317648088	0	0	0	1
97	98	9	3.4447848426729	3.68471858656749	0	0	0	1
5	5	106	-4.40599235967584	-4.16605861578124	0	0	0	1
0	2	80	-5.32192809488736	-5.08199435099277	0	0	0	1
2	10	115	-3.52356195605701	-3.28362821216242	0	0	0	1
52	73	343	-2.2322402072928	-1.9923064633982	0	0	0	1
1170	1334	3384	-1.34297090193536	-1.10303715804077	0	0	0	1
548	615	2490	-2.01748742672884	-1.77755368283425	0	0	0	1
232	262	1334	-2.34811994964713	-2.10818620575254	0	0	0	1
371	331	1725	-2.38169323974568	-2.14175949585108	0	0	0	1
139	193	507	-1.39338489973526	-1.15345115584067	0	0	0	1
16	9	171	-4.24792751344359	-4.00799376954899	0	0	0	1
223	144	423	-1.55458885167764	-1.31465510778305	0	0	0	1
45	24	632	-4.71881824745595	-4.47888450356135	0	0	0	1
231	255	606	-1.24882054661409	-1.0088868027195	0	0	0	1
349	274	85	1.68864114682283	1.92857489071742	0	0	0	1
192	183	46	1.99213788222703	2.23207162612162	0	0	0	1
62	53	477	-3.16992500144231	-2.92999125754772	0	0	0	1
288	480	1520	-1.66296501272243	-1.42303126882784	0	0	0	1
366	610	324	0.912815429565624	1.15274917346022	0	0	0	1
335	374	189	0.984652035666564	1.22458577956116	0	0	0	1
227	375	186	1.01158797427521	1.2515217181698	0	0	0	1
400	934	401	1.21982031325474	1.45975405714933	0	0	0	1
116	206	82	1.32894852256513	1.56888226645973	0	0	0	1
127	190	475	-1.32192809488736	-1.08199435099277	0	0	0	1
246	250	108	1.21089678249862	1.45083052639321	0	0	0	1
48	26	154	-2.56634682255381	-2.32641307865922	0	0	0	1
363	579	342	0.759567023103338	0.999500766997931	0	0	0	1
1612	1608	697	1.20603684531051	1.4459705892051	0	0	0	1
116	150	44	1.76938707185858	2.00932081575318	0	0	0	1
186	201	525	-1.38512192137456	-1.14518817747996	0	0	0	1
192	276	123	1.16600995143893	1.40594369533352	0	0	0	1
170	161	1691	-3.39274406629537	-3.15281032240077	0	0	0	1
1661	1666	741	1.16884295305971	1.40877669695431	0	0	0	1
144	325	174	0.901352412067088	1.14128615596168	0	0	0	1
6	32	1126	-5.13699111208023	-4.89705736818564	0	0	0	1
8	30	200	-2.73696559416621	-2.49703185027161	0	0	0	1
198	171	4661	-4.76857128265305	-4.52863753875845	0	0	0	1
178	101	2604	-4.68830225041384	-4.44836850651925	0	0	0	1
146	125	4348	-5.12035194036522	-4.88041819647063	0	0	0	1
99	51	1448	-4.82742054511171	-4.58748680121712	0	0	0	1
215	126	470	-1.89923702306508	-1.65930327917049	0	0	0	1
835	910	3340	-1.87590965227536	-1.63597590838076	0	0	0	1
83	139	418	-1.58841805935738	-1.34848431546278	0	0	0	1
144	127	525	-2.04748892578132	-1.80755518188673	0	0	0	1
3335	1874	3277	-0.806254719883574	-0.566320975988982	0	0	0	1
430	527	350	0.590448039804885	0.830381783699478	0	0	0	1
732	776	391	0.988888044879774	1.22882178877437	0	0	0	1
8	24	303	-3.6582114827518	-3.4182777388572	0	0	0	1
120	312	72	2.11547721741994	2.35541096131453	0	0	0	1
1817	2161	1602	0.431824924450797	0.67175866834539	0	0	0	1
43	48	1638	-5.09275714091985	-4.85282339702526	0	0	0	1
121	125	392	-1.64892555945312	-1.40899181555853	0	0	0	1
169	137	30	2.19114148735201	2.4310752312466	0	0	0	1
9	4	91	-4.5077946401987	-4.2678608963041	0	0	0	1
7	33	250	-2.92139016530363	-2.68145642140904	0	0	0	1
12	29	231	-2.99376804628849	-2.75383430239389	0	0	0	1
15	7	197	-4.81469689739877	-4.57476315350418	0	0	0	1
21	6	99	-4.04439411935845	-3.80446037546386	0	0	0	1
148	167	3	5.7987417917529	6.03867553564749	0	0	0	1
16	3	253	-6.39803107397315	-6.15809733007856	0	0	0	1
2007	841	252	1.73868206675523	1.97861581064982	0	0	0	1
33	15	371	-4.62838478101228	-4.38845103711769	0	0	0	1
14	21	211	-3.32878176592842	-3.08884802203383	0	0	0	1
685	684	441	0.633217669328376	0.873151413222969	0	0	0	1
26	11	172	-3.9668331360648	-3.72689939217021	0	0	0	1
75	319	2430	-2.92932798472827	-2.68939424083368	0	0	0	1
8	18	152	-3.07800251200127	-2.83806876810668	0	0	0	1
9	13	146	-3.48938484073893	-3.24945109684433	0	0	0	1
1	2	97	-5.59991284218713	-5.35997909829254	0	0	0	1
27	37	634	-4.09888566451046	-3.85895192061586	0	0	0	1
2200	1065	814	0.387752730846953	0.627686474741546	0	0	0	1
26	9	152	-4.07800251200127	-3.83806876810668	0	0	0	1
24	5	111	-4.47248777146274	-4.23255402756815	0	0	0	1
23	49	722	-3.88114518277196	-3.64121143887737	0	0	0	1
219	305	130	1.23029761942179	1.47023136331639	0	0	0	1
3249	2947	6975	-1.24294615647991	-1.00301241258532	0	0	0	1
524	498	1292	-1.37538842262584	-1.13545467873125	0	0	0	1
524	1049	508	1.0461142758051	1.2860480196997	0	0	0	1
546	493	932	-0.918742308276368	-0.678808564381775	0	0	0	1
30	31	178	-2.52153712057952	-2.28160337668493	0	0	0	1
620	813	2221	-1.44988213547195	-1.20994839157736	0	0	0	1
5824	2455	13315	-2.43925749889592	-2.19932375500133	0	0	0	1
117	132	899	-2.76778318615599	-2.5278494422614	0	0	0	1
85	92	1114	-3.59797156128302	-3.35803781738843	0	0	0	1
2020	525	1168	-1.15365094632653	-0.91371720243194	0	0	0	1
734	557	58	3.26355252221246	3.50348626610705	0	0	0	1
17581	16041	13241	0.276751999657732	0.516685743552324	0	0	0	1
1160	927	103	3.16992500144231	3.4098587453369	0	0	0	1
103	203	57	1.83244590302044	2.07237964691503	0	0	0	1
148	138	433	-1.64969875794856	-1.40976501405396	0	0	0	1
52	16	156	-3.28540221886225	-3.04546847496766	0	0	0	1
136	387	2085	-2.42964191218762	-2.18970816829302	0	0	0	1
297	421	241	0.804787086836433	1.04472083073103	0	0	0	1
12	3	81	-4.75488750216347	-4.51495375826888	0	0	0	1
188	151	1941	-3.68417966338859	-3.44424591949399	0	0	0	1
12	1	106	-6.7279204545632	-6.48798671066861	0	0	0	1
811	640	1464	-1.19377174339668	-0.953837999502088	0	0	0	1
2742	2873	1641	0.807982754018811	1.0479164979134	0	0	0	1
829	967	691	0.484830179088583	0.724763922983175	0	0	0	1
392	253	78	1.69759135583206	1.93752509972665	0	0	0	1
10	9	96	-3.41503749927884	-3.17510375538425	0	0	0	1
146	183	27	2.76081233612057	3.00074608001517	0	0	0	1
241	268	131	1.03266618892032	1.27259993281491	0	0	0	1
370	231	65	1.8293812283876	2.0693149722822	0	0	0	1
100	75	471	-2.6507645591169	-2.41083081522231	0	0	0	1
2128	1216	5868	-2.2707256422298	-2.03079189833521	0	0	0	1
4	2	107	-5.74146698640115	-5.50153324250655	0	0	0	1
234	150	389	-1.37480765449031	-1.13487391059572	0	0	0	1
486	553	300	0.882316979738826	1.12225072363342	0	0	0	1
8	8	102	-3.6724253419715	-3.4324915980769	0	0	0	1
18	7	216	-4.94753258010586	-4.70759883621127	0	0	0	1
20	35	282	-3.01026833545383	-2.77033459155923	0	0	0	1
219	183	1962	-3.4224094879352	-3.1824757440406	0	0	0	1
659	1124	905	0.312652338250359	0.552586082144952	0	0	0	1
906	1105	2019	-0.869594541052679	-0.629660797158087	0	0	0	1
781	693	325	1.0924156342214	1.33234937811599	0	0	0	1
27	24	254	-3.40372218605101	-3.16378844215642	0	0	0	1
812	657	180	1.86789646399265	2.10783020788725	0	0	0	1
624	1417	947	0.581403427449633	0.821337171344225	0	0	0	1
390	576	373	0.626893181187075	0.866826925081668	0	0	0	1
1231	2035	1602	0.345154646744898	0.585088390639491	0	0	0	1
572	531	311	0.77179728067355	1.01173102456814	0	0	0	1
190	204	71	1.52267822246681	1.76261196636141	0	0	0	1
63	61	243	-1.99407516604289	-1.7541414221483	0	0	0	1
94	54	382	-2.82254132587228	-2.58260758197769	0	0	0	1
39	18	122	-2.76081233612057	-2.52087859222598	0	0	0	1
148	191	594	-1.63689029276502	-1.39695654887043	0	0	0	1
964	1279	5026	-1.97439440699902	-1.73446066310443	0	0	0	1
16	20	316	-3.98185265328974	-3.74191890939515	0	0	0	1
3217	2700	4205	-0.639146393204314	-0.399212649309721	0	0	0	1
267	197	490	-1.31458611954619	-1.0746523756516	0	0	0	1
720	1146	693	0.725679786619692	0.965613530514284	0	0	0	1
1034	1376	771	0.835677704787063	1.07561144868166	0	0	0	1
764	888	567	0.647210941407877	0.88714468530247	0	0	0	1
69	147	42	1.8073549220576	2.0472886659522	0	0	0	1
872	663	2555	-1.9462425157124	-1.7063087718178	0	0	0	1
269	285	101	1.49660662630031	1.7365403701949	0	0	0	1
4	6	208	-5.11547721741994	-4.87554347352534	0	0	0	1
173	189	822	-2.12075215946061	-1.88081841556602	0	0	0	1
302	278	1041	-1.90481328057591	-1.66487953668132	0	0	0	1
305	248	90	1.4623432140572	1.70227695795179	0	0	0	1
87	134	13	3.36564947231668	3.60558321621127	0	0	0	1
578	1116	809	0.46412541939921	0.704059163293802	0	0	0	1
10	5	101	-4.33628338786443	-4.09634964396984	0	0	0	1
188	207	69	1.58496250072116	1.82489624461575	0	0	0	1
752	705	417	0.757575873841493	0.997509617736085	0	0	0	1
302	276	132	1.06413033741971	1.30406408131431	0	0	0	1
49	25	415	-4.05311133645956	-3.81317759256497	0	0	0	1
315	435	244	0.834134253173204	1.0740679970678	0	0	0	1
35	11	951	-6.43386991222327	-6.19393616832867	0	0	0	1
1199	1507	353	2.09393932832664	2.33387307222124	0	0	0	1
23	24	145	-2.59494658929378	-2.35501284539919	0	0	0	1
0	0	77	NA	NA	0	0	0	1
44	22	1074	-5.60934665934812	-5.36941291545352	0	0	0	1
164	380	32	3.56985560833095	3.80978935222554	0	0	0	1
176	84	375	-2.15842936260448	-1.91849561870989	0	0	0	1
13	9	142	-3.97982211806237	-3.73988837416778	0	0	0	1
87	142	824	-2.53675340767854	-2.29681966378394	0	0	0	1
176	191	877	-2.19900420440899	-1.95907046051439	0	0	0	1
2	5	135	-4.75488750216347	-4.51495375826888	0	0	0	1
958	922	1667	-0.854415448557079	-0.614481704662486	0	0	0	1
394	495	1001	-1.01594154386902	-0.776007799974428	0	0	0	1
2866	1496	3355	-1.16520259119991	-0.925268847305317	0	0	0	1
168	276	77	1.84173791608327	2.08167165997786	0	0	0	1
516	585	363	0.688467076475016	0.928400820369608	0	0	0	1
27	29	172	-2.56828375957453	-2.32835001567993	0	0	0	1
7	1	82	-6.35755200461808	-6.11761826072349	0	0	0	1
76	172	39	2.14086253583985	2.38079627973444	0	0	0	1
179	226	18	3.65025396097288	3.89018770486747	0	0	0	1
437	546	341	0.679129211895679	0.919062955790272	0	0	0	1
2318	3359	2270	0.56533949805622	0.805273241950813	0	0	0	1
21	194	4	5.59991284218713	5.83984658608172	0	0	0	1
5	5	87	-4.12101540096137	-3.88108165706677	0	0	0	1
725	913	547	0.739074027191664	0.979007771086257	0	0	0	1
392	753	239	1.65563924669118	1.89557299058577	0	0	0	1
1042	1750	284	2.62339208721501	2.8633258311096	0	0	0	1
550	501	50	3.32481060342048	3.56474434731508	0	0	0	1
186	280	13	4.42884329880387	4.66877704269847	0	0	0	1
27	155	18	3.10619940383193	3.34613314772652	0	0	0	1
209	106	12	3.14295795384204	3.38289169773664	0	0	0	1
118	195	80	1.28540221886225	1.52533596275684	0	0	0	1
250	212	512	-1.2720795454368	-1.03214580154221	0	0	0	1
97	206	478	-1.21436628079753	-0.974432536902937	0	0	0	1
367	375	749	-0.998075123075507	-0.758141379180915	0	0	0	1
181	262	1510	-2.52690983267499	-2.2869760887804	0	0	0	1
1303	1315	674	0.964242302997805	1.2041760468924	0	0	0	1
