Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
C1orf21	50	170	105	6	4	25
C1orf210	0	0	1	0	0	0
C1orf213	1	2	5	5	3	3
C1orf216	15	30	26	8	7	3
C1orf220	8	1	5	8	12	1
C1orf226	1	2	0	1	0	0
C1orf227	0	0	0	0	0	0
C1orf228	15	17	16	17	7	13
C1orf229	0	1	0	0	0	0
C1orf233	4	5	0	0	1	1
C1orf234	0	0	0	0	0	0
C1orf27	199	222	241	200	215	192
C1orf35	21	13	22	12	28	15
C1orf43	392	341	242	250	270	209
C1orf50	10	3	17	10	26	19
C1orf51	2	5	12	5	2	0
C1orf52	90	91	134	74	88	69
C1orf53	0	2	0	1	0	0
C1orf54	2	8	11	0	2	3
C1orf56	294	335	685	161	144	196
C1orf61	3	10	7	0	3	4
C1orf63	858	882	1442	287	215	241
C1orf64	0	0	0	0	0	0
C1orf65	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0
C1orf74	2	0	10	3	1	0
C1orf85	20	42	27	9	4	14
C1orf86	33	24	25	21	19	15
C1orf87	1	0	0	0	0	0
C1orf94	0	0	0	0	0	0
C1orf95	16	11	5	74	71	65
C1QA	2	0	2	1	0	0
C1QB	5	7	18	2	0	0
C1QBP	80	62	123	55	122	92
C1QC	2	1	2	0	0	0
C1QL1	1	0	0	0	0	0
C1QL2	0	0	0	1	0	0
C1QL3	3	0	0	1	1	2
C1QL4	0	0	0	0	0	0
C1QTNF1	0	0	0	0	0	0
C1QTNF1-AS1	0	0	1	0	0	0
C1QTNF2	0	0	1	0	0	0
C1QTNF3	10	7	13	3	11	8
C1QTNF3-AMACR	0	1	0	0	0	0
C1QTNF4	0	0	0	0	0	0
C1QTNF5	0	0	0	0	0	0
C1QTNF6	11	6	5	11	21	8
C1QTNF7	12	8	6	0	4	2
C1QTNF9	0	0	1	0	0	0
C1QTNF9B	0	0	1	0	0	0
C1QTNF9B-AS1	0	0	1	0	0	0
C1R	3	1	0	0	1	2
C1R-2	3	4	0	0	0	0
C1RL	35	57	33	11	14	9
C1RL-AS1	23	33	68	7	9	11
C1S	3	0	1	3	8	4
C2	8	14	9	1	0	1
C20orf112	215	444	483	70	52	97
C20orf144	0	0	0	0	0	0
C20orf166-AS1	0	0	0	0	0	0
C20orf173	0	0	8	0	0	0
C20orf181	0	0	0	0	0	0
C20orf194	122	152	133	56	32	45
C20orf195	7	0	1	7	13	3
C20orf196	6	1	8	3	6	6
C20orf197	3	1	0	1	0	0
C20orf202	0	0	0	2	0	0
C20orf203	1	2	0	2	0	0
C20orf24	3	2	2	0	0	1
C20orf26	0	1	0	1	0	0
C20orf27	13	20	41	1	0	3
C20orf62	0	0	0	1	0	0
C20orf78	0	0	0	0	0	0
C20orf96	10	5	2	2	7	2
C21orf119	1	1	0	1	1	1
C21orf128	0	1	0	0	0	0
C21orf140	0	0	0	0	0	0
C21orf15	2	26	2	1	0	3
C21orf2	62	36	39	51	95	42
C21orf33	0	7	0	0	9	12
C21orf49	0	1	9	0	3	0
C21orf58	1	4	3	0	2	1
C21orf59	117	106	92	50	50	47
C21orf62	1	0	0	0	2	1
C21orf67	0	0	0	0	1	0
C21orf88	0	0	0	0	0	0
C21orf90	0	0	0	0	0	0
C21orf91	246	316	419	207	232	174
C21orf91-OT1	0	2	0	0	0	1
C22orf15	0	0	0	0	0	0
C22orf23	11	11	2	7	10	5
C22orf24	1	2	4	4	5	1
C22orf26	0	0	0	1	1	0
C22orf29	15	22	38	20	39	14
C22orf31	0	0	0	0	0	1
C22orf34	9	4	1	8	16	4
C22orf39	68	75	87	96	112	87
C22orf42	0	0	0	0	0	0
C22orf43	5	1	0	0	4	4
C22orf46	66	43	57	37	86	39
C2CD2	66	94	63	27	33	24
C2CD2L	36	48	26	5	7	9
C2CD3	291	181	270	263	275	248
C2CD4A	0	0	0	0	0	0
C2CD4B	1	3	2	0	0	0
C2CD4C	0	0	1	0	0	0
C2CD4D	0	0	0	1	1	0
C2CD5	262	202	204	124	214	112
C2orf15	2	2	6	2	8	0
C2orf16	6	6	35	3	3	1
C2orf27A	3	0	0	2	3	1
C2orf27B	0	0	0	0	0	0
C2orf40	0	1	0	0	0	0
C2orf42	26	27	12	50	61	37
C2orf43	36	27	42	16	40	17
C2orf44	30	17	18	42	62	31
C2orf47	27	10	18	36	42	43
C2orf48	0	1	0	0	0	0
C2orf49	81	75	133	132	140	182
C2orf50	0	0	0	0	0	0
C2orf53	0	0	1	0	0	1
C2orf54	0	0	0	0	0	0
C2orf57	0	0	1	0	0	0
C2orf61	8	3	1	3	2	4
C2orf62	1	0	0	0	0	0
C2orf66	17	3	7	4	3	6
C2orf68	71	68	102	62	129	51
C2orf69	141	88	148	63	104	71
C2orf71	4	3	8	0	0	0
C2orf72	0	0	0	0	0	0
C2orf73	0	0	0	0	0	0
C2orf74	9	14	2	15	24	14
C2orf76	9	12	23	6	9	14
C2orf78	0	0	1	1	0	0
C2orf81	0	3	2	0	1	1
C2orf82	0	0	0	0	0	0
C2orf83	0	0	0	0	0	0
C2orf88	53	15	6	40	99	34
C2orf91	0	0	0	0	0	0
C3	48	54	3	13	3	7
C3AR1	350	735	295	68	63	25
C3orf14	2	9	13	2	11	1
C3orf17	354	309	388	369	525	437
C3orf18	6	3	4	1	1	1
C3orf20	0	1	12	3	0	0
C3orf22	0	0	0	0	0	0
C3orf27	0	0	0	2	0	0
C3orf30	0	0	3	0	0	0
C3orf33	2	5	3	3	3	4
C3orf35	26	20	41	39	56	30
C3orf36	0	0	0	0	0	0
C3orf38	87	52	85	73	96	103
C3orf43	0	0	0	0	0	0
C3orf49	0	0	0	0	1	2
C3orf52	17	8	25	15	12	13
C3orf55	0	0	0	0	0	0
C3orf56	0	0	1	0	0	0
C3orf58	380	498	436	111	116	92
C3orf62	77	94	119	64	78	46
C3orf65	3	1	0	0	0	0
C3orf67	2	5	1	3	0	2
C3orf70	1	1	4	0	0	0
C3orf72	0	0	0	1	0	0
C3orf79	0	0	0	0	0	0
C3orf80	1	0	0	0	0	0
C3orf83	0	0	0	0	1	0
C3orf84	0	0	0	0	0	0
C3P1	0	0	0	0	0	0
C4A	4	0	1	1	0	0
C4B	0	0	0	0	2	0
C4BPA	0	1	5	2	0	0
C4BPB	0	0	4	5	0	6
C4orf17	0	0	0	0	0	0
C4orf19	3	8	47	8	4	5
C4orf21	73	67	94	87	141	71
C4orf22	0	0	0	0	0	1
C4orf26	2	3	5	0	2	1
C4orf27	2	12	10	15	29	26
C4orf29	76	72	143	105	150	104
C4orf3	269	285	463	197	172	224
C4orf32	47	53	61	70	60	61
C4orf33	150	94	115	36	32	39
C4orf36	0	2	0	1	5	1
C4orf40	0	0	0	0	0	0
C4orf45	0	1	0	0	0	0
C4orf46	119	70	72	109	83	117
C4orf47	0	0	0	3	2	9
C4orf48	4	1	10	1	4	1
C4orf50	1	2	0	0	0	0
C4orf51	0	0	0	0	0	0
C4orf6	0	0	0	0	0	0
C5	33	23	41	2	12	15
C5AR1	1993	1955	952	540	218	150
C5AR2	6	19	28	5	2	2
C5orf15	191	152	81	176	208	153
C5orf20	0	11	16	1	1	0
C5orf22	56	84	148	136	189	108
C5orf24	197	147	323	219	293	207
C5orf27	1	10	0	1	0	0
C5orf28	22	13	30	30	62	30
C5orf30	10	12	36	12	7	13
C5orf34	4	4	8	9	23	7
C5orf38	0	0	0	0	0	0
C5orf42	246	212	245	186	323	125
C5orf45	37	89	47	15	23	9
C5orf46	0	0	0	0	0	0
C5orf47	0	0	0	0	0	0
C5orf48	0	0	1	0	0	0
C5orf51	234	176	258	257	386	243
C5orf52	0	0	0	0	0	0
C5orf54	2	3	3	0	0	0
C5orf55	0	7	0	1	2	1
C5orf56	8	8	23	14	10	13
C5orf58	3	1	1	1	1	0
C5orf60	0	0	3	0	0	0
C5orf63	9	6	19	24	44	12
C5orf64	1	2	7	0	0	0
C5orf66	103	86	52	108	60	85
C6	0	0	0	0	0	0
C6orf1	21	9	5	17	16	15
C6orf10	2	0	6	3	2	1
C6orf106	649	553	588	358	431	313
C6orf118	0	0	0	0	0	0
C6orf120	204	115	207	217	230	254
C6orf123	0	0	0	0	0	0
C6orf132	0	0	0	1	8	4
C6orf136	18	7	22	22	23	7
C6orf141	0	0	0	0	0	0
C6orf147	3	1	0	2	1	0
C6orf15	0	0	0	0	0	0
C6orf163	1	2	12	3	7	3
C6orf164	0	5	0	4	1	0
C6orf165	4	2	1	4	3	3
C6orf195	0	0	0	0	0	0
C6orf201	3	5	5	3	9	5
C6orf203	6	2	11	13	18	15
C6orf211	57	38	29	38	46	29
C6orf222	1	10	0	0	0	0
C6orf223	5	6	5	3	1	1
C6orf226	4	1	6	2	3	3
C6orf229	0	5	1	2	2	1
C6orf25	81	54	31	77	109	81
C6orf47	48	46	21	18	50	26
C6orf48	442	343	1095	545	430	565
C6orf52	0	0	0	1	2	0
C6orf57	0	2	0	0	0	0
C6orf58	0	0	0	0	0	0
C6orf62	1843	1641	1842	1246	1189	1140
C6orf7	0	0	0	0	0	0
C6orf89	101	127	205	178	264	166
