Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
ADPRHL1	0	0	0	1	2	1
ADPRHL2	37	18	12	34	42	43
ADPRM	45	21	34	38	50	39
ADRA1A	0	0	1	0	0	0
ADRA1B	2	0	0	0	1	0
ADRA1D	0	0	0	1	0	0
ADRA2A	2	0	0	2	0	2
ADRA2B	14	17	40	3	3	3
ADRA2C	0	0	0	0	0	0
ADRB1	3	1	1	0	0	0
ADRB2	215	344	385	61	28	30
ADRB3	0	0	1	0	0	0
ADRBK1	135	180	191	99	97	83
ADRBK2	949	722	818	265	418	327
ADRM1	132	116	123	105	110	112
ADSL	53	53	59	82	89	105
ADSS	208	178	313	96	176	135
ADSSL1	3	5	0	0	0	1
ADTRP	12	23	9	6	1	3
AEBP1	56	32	54	28	39	40
AEBP2	299	214	109	207	272	218
AEN	109	60	82	79	82	140
AES	236	214	421	135	138	124
AF064858.7	0	0	0	0	0	0
AFAP1	23	20	8	7	12	10
AFAP1-AS1	2	10	2	3	0	0
AFAP1L1	0	0	0	0	0	0
AFAP1L2	3	1	0	2	3	2
AFF1	1203	998	1797	1742	1818	1678
AFF2	51	142	75	62	20	31
AFF3	1467	519	1176	424	822	834
AFF4	3047	2724	1832	1921	1904	1865
AFG3L1P	37	37	38	56	82	58
AFG3L2	100	112	87	171	222	163
AFM	0	0	0	0	0	0
AFMID	28	25	35	6	6	7
AFP	0	0	0	0	0	0
AFTPH	962	729	646	669	814	551
AGA	42	29	12	22	35	30
AGAP1	9	43	4	0	0	1
AGAP1-IT1	0	0	0	0	0	0
AGAP11	0	0	0	0	0	1
AGAP2	52	94	158	26	24	35
AGAP2-AS1	7	11	8	6	6	3
AGAP3	187	103	44	39	45	22
AGAP4	25	38	50	16	37	26
AGAP5	15	4	3	19	22	14
AGAP6	98	89	40	130	233	125
AGAP7	16	8	11	3	4	3
AGAP9	20	25	35	19	26	16
AGBL1	0	0	0	0	0	0
AGBL2	9	3	8	10	7	8
AGBL3	3	1	1	7	6	2
AGBL4	1	0	0	0	1	0
AGBL5	40	32	43	29	25	25
AGBL5-AS1	0	0	0	0	0	0
AGER	25	17	17	7	15	6
AGFG1	874	594	461	1201	1182	840
AGFG2	20	18	113	3	4	9
AGGF1	71	91	74	124	155	106
AGK	91	106	173	68	139	57
AGL	114	74	103	80	121	105
AGMAT	8	7	5	10	11	4
AGMO	0	0	0	0	0	0
AGO1	330	323	359	264	343	188
AGO2	530	396	413	784	1006	992
AGO3	228	230	213	93	116	68
AGO4	230	341	405	123	80	78
AGPAT1	69	102	91	34	44	23
AGPAT2	11	25	7	3	25	31
AGPAT3	122	197	138	89	136	65
AGPAT4	329	252	77	94	116	55
AGPAT4-IT1	36	27	43	4	7	11
AGPAT5	180	72	79	349	472	589
AGPAT6	464	222	244	351	429	470
AGPAT9	87	213	106	36	26	26
AGPS	167	235	173	83	157	81
AGR2	2	1	0	0	1	0
AGR3	0	0	0	0	0	0
AGRN	9	10	12	11	8	13
AGRP	0	0	0	0	0	0
AGT	0	0	1	0	0	0
AGTPBP1	613	850	663	280	313	279
AGTR1	0	0	1	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	26	47	13	8	1	3
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	1318	1303	1546	1083	1201	898
AHCTF1P1	30	10	20	4	20	2
AHCY	75	66	47	22	23	28
AHCYL1	520	526	372	196	287	123
AHCYL2	100	114	193	27	37	29
AHDC1	44	41	75	10	10	11
AHI1	210	191	117	350	431	136
AHNAK	17551	14694	12477	4552	4023	4494
AHNAK2	48	29	54	13	8	9
AHR	2036	1529	852	682	451	378
AHRR	1	4	1	0	2	1
AHSA1	372	327	255	78	98	53
AHSA2	847	634	755	365	614	450
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	2
AICDA	0	3	0	0	2	0
AIDA	391	211	434	289	414	264
AIF1	900	1362	498	233	53	129
AIF1L	0	0	0	0	0	0
AIFM1	63	56	51	24	52	24
AIFM2	9	5	0	12	12	3
AIFM3	10	15	0	1	1	1
AIG1	57	44	48	19	53	20
AIM1	1211	1096	2118	340	888	429
AIM1L	0	0	2	1	0	0
AIM2	63	27	34	11	28	16
AIMP1	153	129	110	110	219	146
AIMP2	19	38	7	48	66	47
AIP	76	66	144	29	45	46
AIPL1	0	0	0	0	0	0
AIRE	0	0	1	0	0	0
AIRN	10	9	0	2	3	3
AJAP1	0	6	8	0	0	0
AJUBA	0	1	2	2	4	0
AK1	23	32	49	38	44	24
AK2	330	465	524	159	298	141
AK3	60	43	97	47	90	28
AK4	52	27	3	9	9	4
AK5	11	58	33	35	33	25
AK6	22	11	19	10	26	3
AK7	1	1	0	0	0	0
AK8	3	0	11	1	2	0
AK9	92	35	68	46	59	56
AKAP1	117	114	78	83	121	115
AKAP10	115	76	68	136	196	183
AKAP11	800	479	930	601	1026	521
AKAP12	186	1227	1390	73	50	70
AKAP13	5065	5331	5265	5180	4384	4790
AKAP14	0	0	0	1	1	0
AKAP17A	154	195	155	173	150	147
AKAP2	0	0	4	7	1	1
AKAP3	4	1	1	2	7	3
AKAP4	0	0	0	0	0	0
AKAP5	45	51	72	19	92	29
AKAP6	288	26	131	190	121	47
AKAP7	23	23	10	20	12	12
AKAP8	424	372	370	268	313	296
AKAP8L	85	104	185	73	122	76
AKAP9	1507	1352	1507	688	1115	715
AKIP1	15	4	11	1	9	2
